Material_Name,Chemical_Composition,Material_Class,Film_Thickness,Substrate,Material_Type,Superconductor_Type,Superconducting_Transition_Temperature,Pressure,Crystal_Structure,Lattice_Structure,Space_Group,"Lattice_Constant(a)","Lattice_Constant(b)","Lattice_Constant(c)",Lower_Critical_Field,Upper_Critical_Field,Experimental,DOI
Vanadium silicide,V3Si,Bulk,,,SC,two-band superconductor,16.5 K,,,,,,,,,,,10.1103/PhysRevLett.108.207002
V3Si,V3Si,Bulk,,,SC,A15,,,Cubic,A15,,,,,,,TRUE,10.1103/PhysRevB.86.060501
Vanadium Silicon,V3Si,Bulk,,,SC,A15,,,,A15,,,,,,,FALSE,10.1103/PhysRevB.95.094517
V3Si,V3Si,,,,SC,s-wave,,,,,,,,,,,TRUE,10.1103/PhysRevLett.92.157005
Vanadium Silicide,V3Si,Bulk,,,SC,Type-II,16.6 K,,,,,,,,,>20 T,TRUE,10.1103/PhysRevB.74.184521
Vanadium Silicide,V3Si,,,,SC,,,,,,,,,,,,FALSE,10.1103/PhysRevB.90.140508
V3Si,V3Si,Bulk,,,SC,,,,Cubic,A15,Pm-3n,,,,,,FALSE,10.1103/PhysRevB.109.075119
V3Si,V3Si,,,,SC,phonon-mediated,,,,,,,,,,,FALSE,10.1103/PhysRevB.92.195122
Vanadium Silicide,V3Si,,,,SC,,,,,,,,,,,,FALSE,10.1103/PhysRevB.95.184503
Vanadium Silicide,V3Si,Bulk,,,SC,Type-II,,,,,,,,,,,FALSE,10.1103/PhysRevB.111.094509
Vanadium silicide,V3Si,,,,SC,,,,,A15,,,,,,,FALSE,10.1103/PhysRevB.82.014531
V3Si,V3Si,Bulk,,,SC,Type-II,,ambient,,,,,,,,20 T,TRUE,10.1103/PhysRevB.82.180513
V3Si,V3Si,Bulk,,,SC,,,,,,,,,,,,FALSE,10.1103/PhysRevLett.93.067001
V3Si,V3Si,Bulk,,,SC,A15/Conventional,17 K,,,A15,,,,,,,TRUE,10.1103/PhysRevLett.94.107001
V3Si,V3Si,,,,SC,,,,,,,,,,,,FALSE,10.1103/PhysRevB.84.224306
V3Si,V3Si,Bulk,,,SC,Type-II,16.9,,,,,,,,,23.5,FALSE,10.1016/j.physc.2012.08.005
V3Si,V3Si,Bulk,,,SC,Type-II,17.0 K,,Cubic,,,,,,,18.3 T,TRUE,10.1016/S0921-4526(00)00685-2
V3Si,V3Si,Bulk,,,SC,High-Tc,17 K,,,,,,,,,,FALSE,10.1016/j.physb.2012.05.041
V3Si,V3Si,Bulk,,,SC,Type-II,12.8 K,6.67 T,Tetragonal,Body-centered,,4.715 Å,4.715 Å,4.725 Å,,,TRUE,10.1016/j.physc.2022.1354137
V3Si,V3Si,,,,SC,Type-I,17 K,,,,,,,,,,FALSE,10.1016/j.physb.2014.11.089
V3Si,V3Si,Bulk,,,SC,Type-II,18 K,,Tetragonal,,,,,,,,FALSE,10.1016/S0921-4526(00)00788-2
V3Si,V3Si,Bulk,,,SC,Type-II,17.0 K,,A15,,,,,,,21 T,TRUE,10.1016/j.physc.2012.03.016
V3Si,V3Si,Bulk,,,SC,Type-II,16 K,,,,,,,,,,TRUE,10.1016/j.physc.2004.04.027
V3Si,V3Si,Bulk,,,SC,Type-II,16.8 K,1 atm,A15,Cubic,,,,,,22 T,TRUE,10.1016/j.physc.2015.02.013
V3Si,V3Si,Bulk,,,SC,Conventional,16.3 K,,Cubic,A15,,,,,,22 T,TRUE,10.1016/S0921-4526(02)02234-2
V3Si,V3Si,Bulk,,,SC,Type-II,15.9 K,,A15,,,,,,,,TRUE,10.1016/j.elspec.2015.04.009
V3Si,V3Si,Bulk,,,SC,Type-II,16.52-16.97 K,,A15,,,4.7242-4.7300 Å,,,700 Oe,200 kOe,TRUE,10.1016/j.physc.2003.08.010
V3Si,V3Si,Bulk,,,SC,Type-II,17.0 K,,A15,Body-centered cubic,Pm-3n,4.73 Å,4.73 Å,4.73 Å,,,TRUE,10.1016/j.cej.2024.150961
V3Si,V3Si,Bulk,,,SC,Type-II,17,,,,,,,,,23,FALSE,10.1016/j.vacuum.2022.111711
V3Si,V3Si,Bulk,,,SC,Type-II,16.8 K,,Cubic to Tetragonal,,,,,,0.2 T,8.3 T,TRUE,10.1016/j.physc.2008.07.005
V3Si,V3Si,Bulk,,,SC,Type-II,20 K,,A-15,,,,,,,,,10.1016/0375-9601(79)90371-2
V3Si,V3Si,Bulk,,,SC,Type-II,17.3 K,,Cubic,A15,Pm-3n,4.7007 Å,,,,,FALSE,10.1016/j.intermet.2018.02.010
V3Si,V3Si,Bulk,,,SC,Type-II,17.3 K,,Tetragonal,A15,P42/mmc,4.6990 Å,,4.7089 Å,,,FALSE,10.1016/j.intermet.2018.02.010
V3Si,V3Si,Bulk,,,SC,Type-II,17.1 K,,A15,β-tungsten,,,,,,,TRUE,10.1016/S0368-2048(00)00395-9
V3Si,V3Si,Bulk,,,SC,Type-II,17.1 K,,A15,,,,,,,,FALSE,10.1016/j.physc.2006.03.047
V3Si,V3Si,Thin Film,,,SC,Type-II,15 K,,,,,,,,,20 T,TRUE,10.1016/j.mee.2021.111570
V3Si,V3Si,Bulk,,,SC,Type-II,17 K,,A15,,,,,,,,FALSE,10.1016/S0921-4526(99)02462-X
V3Si,V3Si,Bulk,,,SC,Type-II,16.8 K,,,,,,,,,225 kOe,,10.1016/bs.aiep.2021.07.007
V3Si,V3Si,Bulk,,,SC,Type-II,16.4 K,,,,,,,,,,TRUE,10.1016/0921-4534(95)00166-2
V₃Si,V3Si1,Bulk,,,SC,A15,,,,A15,,,,,,,,10.1103/PhysRevLett.69.1443
Vanadium tin,V3Sn,,,,SC,,,,,,,,,,,,,10.1103/PhysRevLett.22.1300
V3Sn,V3Sn,Bulk,,,SC,Type-II,,,,A15,,,,,,,,10.1103/PhysRevB.58.1004
V₃Sn,V3Sn,Bulk,,,SC,A15/High-Tc,4 K,,Cubic,A15,,,,,,,True,10.1103/PhysRevB.7.4861
Vanadium Tin,V3Sn,Bulk,,,SC,A15,3.8 K,,,A15,,,,,,,,10.1103/PhysRevB.26.3673
V3Sn,V3Sn,Bulk,,,SC,A15,,,Cubic,A15,,4.984 Å,4.984 Å,4.984 Å,,,False,10.1103/PhysRevB.18.6411
V3Sn,V3Sn,Bulk,,,SC,A-15,3.8 K,,,A-15,,,,,,,,10.1103/PhysRevB.13.3783
V3Sn,V3Sn,Bulk,,,SC,,,,,A15,,,,,,,,10.1103/PhysRevB.25.745
V3Sn,V3Sn,Bulk,,,SC,Type-II,3.7 K,,Cubic,β-tungsten,,,,,,,True,10.1103/PhysRevLett.13.470
V3Sn,V3Sn,Bulk,,,SC,Type-II,3.8 K,,,A15,,,,,,,True,10.1103/PhysRevLett.42.530
V3Sn,V3Sn,Bulk,,,SC,High-Tc,4 K,,Cubic,A15 (Cr3O-type),,,,,,,,10.1103/PhysRevB.10.2803
Vanadium tin,V3Sn,Bulk,,,SC,High-Tc,3.7 K,,Cubic,A15,,,,,,,True,10.1103/PhysRevB.26.1208
V3Sn,V3Sn,Bulk,,,SC,Type-II,3.8,,Cubic,Body-centered,,4.940,4.940,4.940,,,FALSE,10.1016/j.ssc.2009.05.011
V3Sn,V3Sn,Bulk,,,SC,Type-II,7.0 K,,A15,Body-centered cubic,Pm-3n,4.99 Å,4.99 Å,4.99 Å,,,TRUE,10.1016/j.cej.2024.150961
V-Ag multilayer,V40Ag20,Thin Film,1980 Å,,SC,Type-II,2.86 K,,,multilayer,,,,,,9.12 kG/K (slope at Tc),True,10.1103/PhysRevB.35.8413
V-Ag multilayer,V40Ag20,Thin Film,~1800 Å,mylar/polyimide/glass,SC,Type-II,2.89 K,,,multilayer,,,,,,"~26 kG (perpendicular), ~32 kG (parallel)",True,10.1103/PhysRevB.35.6736
V45Cr30Ga25,V45Cr30Ga25,Bulk,,,SC,A-15,6.4 K,atmospheric pressure,,A-15,,,,,,,True,10.1103/PhysRevB.19.199
V4Ga,V4Ga,Bulk,,,SC,,10.1 K,,Cubic,β-wolfram,Pm3n,,,,,,True,10.1103/PhysRevLett.5.149
V4Ti2W,V4Ti2W,Bulk,,,SC,Type-II,5.57 K,0 atm,Body-Centered Cubic,BCC,Im3̅m (No. 229),3.10673 Å,3.10673 Å,3.10673 Å,40.7 mT,9.93 T,TRUE,10.1016/j.mtcomm.2024.108444
V5Si3,V5Si3,Thin Film,880 Å,oxidized silicon wafers,NSC,,,,Tetragonal,,,,,,,,True,10.1103/PhysRevB.34.6143
V60Cr15Ga25,V60Cr15Ga25,Bulk,,,SC,A-15,9.9 K,atmospheric pressure,,A-15,,,,,,,True,10.1103/PhysRevB.19.199
V60Mn15Ga25,V60Mn15Ga25,Bulk,,,SC,A-15,4.2 K,atmospheric pressure,,A-15,,,,,,,True,10.1103/PhysRevB.19.199
V60Ti30Cr10,V60Ti30Cr10,Bulk,,,SC,Type-II,,,,bcc,,,,,,Hc20 mentioned but specific value NA,True,10.1103/PhysRevB.11.3393
V65Mn10Ga25,V65Mn10Ga25,Bulk,,,SC,A-15,7.0 K,atmospheric pressure,,A-15,,,,,,,True,10.1103/PhysRevB.19.199
V67.5Co7.5Ga25,V67.5Co7.5Ga25,Bulk,,,SC,A-15,11.4 K,atmospheric pressure,,A-15,,,,,,,True,10.1103/PhysRevB.19.199
V67.5Co7.5Ga25,V67.5Co7.5Ga25,Bulk,,,SC,A-15,4.2 K,atmospheric pressure,,A-15,,,,,,,True,10.1103/PhysRevB.19.199
V67.5Fe7.5Ga25,V67.5Fe7.5Ga25,Bulk,,,SC,A-15,11.8 K,atmospheric pressure,,A-15,,,,,,,True,10.1103/PhysRevB.19.199
V67.5Ti7.5Ga25,V67.5Ti7.5Ga25,Bulk,,,SC,A-15,11.3 K,atmospheric pressure,,A-15,,,,,,,True,10.1103/PhysRevB.19.199
V67Zr33,V67Zr33,Bulk,,,SC,Type-II,8.0K,,Cubic Laves phase,,,7.43Å,,,,,TRUE,10.1016/0921-4534(88)90669-7
V6S8,V6S8,Bulk,,,SC,Type-II,0.76 K,,Hexagonal,,P63,,,,,,TRUE,10.1016/S0038-1098(01)00333-7
V6S8,V6S8,Bulk,,,SC,Type-II,3.7 K,,,,,,,,,,TRUE,10.1016/S0038-1098(01)00495-1
V70Co5Ga25,V70Co5Ga25,Bulk,,,SC,A-15,7.2 K,atmospheric pressure,,A-15,,,,,,,True,10.1103/PhysRevB.19.199
V70Cr5Ga25,V70Cr5Ga25,Bulk,,,SC,A-15,12.1 K,atmospheric pressure,,A-15,,,,,,,True,10.1103/PhysRevB.19.199
V70Fe5Ga25,V70Fe5Ga25,Bulk,,,SC,A-15,8.5 K,atmospheric pressure,,A-15,,,,,,,True,10.1103/PhysRevB.19.199
V70Mn5Ga25,V70Mn5Ga25,Bulk,,,SC,A-15,10.1 K,atmospheric pressure,,A-15,,,,,,,True,10.1103/PhysRevB.19.199
V72.5Ti2.5Ga25,V72.5Ti2.5Ga25,Bulk,,,SC,A-15,12.4 K,atmospheric pressure,,A-15,,,,,,,True,10.1103/PhysRevB.19.199
V7MnFe8Sb7In,V7MnFe8Sb7In,Bulk,,,SC,,,,,Heusler-like,,,,,,,,10.1103/PhysRevB.57.557
Vanadium-Tungsten alloy,V94.8W5.2,Bulk,,,SC,Type-II,4.08 K,,Cubic,bcc,,,,,,,True,10.1103/PhysRevB.37.5122
Vanadium-Tantalum alloy,V96.4Ta3.6,Bulk,,,SC,Type-II,4.55 K,,Cubic,bcc,,,,,,,True,10.1103/PhysRevB.37.5122
Vanadium-Hafnium alloy,V99.1Hf0.9,Bulk,,,SC,Type-II,5.34 K,,Cubic,bcc,,,,,,,True,10.1103/PhysRevB.37.5122
Vanadium diboride,VB2,Bulk,,,SC,Type-II,<0.4 K,ambient pressure,Hexagonal,AlB2-type,,,,,,,,10.1103/PhysRevB.65.052501
VB2,VB2,Bulk,,,NSC,,0.0 K,,Hexagonal,AlB2-type,P6/mmm,,,,,,TRUE,10.1103/PhysRevB.105.214517
VB2,VB2,Bulk,,,NSC,,,,,,,,,,,,TRUE,10.1103/PhysRevB.75.144506
Vanadium Diboride,VB2,Bulk,,,SC,,0.97 K,Ambient,Hexagonal,MgB2-type,,2.966,2.966,3.005,,,FALSE,10.1103/PhysRevB.104.134510
VC,VC,,,,SC,,,,,,,,,,,,,10.1103/PhysRevLett.43.868
VC,VC,Bulk,,,NSC,,< 0.05 K,,Cubic,NaCl,,,,,,,,10.1103/PhysRevB.29.1443
Vanadium carbide,VC,Bulk,,,NSC,,,,,,,,,,,,,10.1103/PhysRev.125.837
VC,VC,Bulk,,,SC,Type-II,,,Cubic,NaCl-structure,,4.10 Å,4.10 Å,4.10 Å,,,True,10.1103/PhysRevB.46.14969
Vanadium carbide,VC,Bulk,,,NSC,,Not superconducting down to 1.8 K,,Cubic,NaCl,,,,,,,True,10.1103/PhysRev.90.115
Vanadium Carbide,VC,Bulk,,,SC,,11.5 K,,Cubic,NaCl-type (B1),Fm-3m,4.154,4.154,4.154,,,FALSE,10.1103/PhysRevB.72.064515
Vanadium carbide with metal phase,VC0.3,Bulk,,,SC,,4.7 K,,,,,,,,,,True,10.1103/PhysRev.129.1524
Vanadium carbide,VC0.44,Bulk,,,NSC,,No transition down to 1.98 K,,,,,,,,,,True,10.1103/PhysRev.129.1524
VC0.88,VC0.88,Bulk,,,NSC,,<0.05 K,,Cubic,,,,,,,,True,10.1103/PhysRevB.8.5093
VFe,VFe,Bulk,,,SC,,,,,,,,,,,,True,10.1103/PhysRev.183.492
VH11,VH11,Bulk,,,SC,Type-II,90.9–122.6,200 GPa,Cmmm,orthorhombic,Cmmm,,,,,,FALSE,10.1016/j.physb.2022.414603
VH3,VH3,Bulk,,,SC,Type-II,2.4–2.5,200 GPa,Fm-3m,fcc,Fm-3m,,,,,,FALSE,10.1016/j.physb.2022.414603
VH5,VH5,Bulk,,,SC,Type-II,14.5–15.5,200 GPa,P6/mmm,hexagonal,P6/mmm,,,,,,FALSE,10.1016/j.physb.2022.414603
VLu,VLu,Bulk,,,SC,,5.1 K,,Cubic,CsCl type,,,,,,,TRUE,Handbook of SC
Vanadium Nitride,VN,Thin Film,,,SC,,,,,,,,,,,,True,10.1103/PhysRevB.47.15302
VN,VN,Thin Film,,,SC,,,,,,,,,,,,True,10.1103/PhysRevB.30.5370
Vanadium Nitride,VN,Bulk,,,SC,,7.5 K,,,,,,,,,,,10.1103/PhysRevB.7.1920
VN,VN,,,,SC,,,,,B1 structure,,,,,,,,10.1103/PhysRevB.12.4917
VN,VN,Bulk,,,SC,,,,,,,,,,,,,10.1103/PhysRevB.63.220504
Vanadium Nitride,VN,Bulk,,,SC,Type-II,8.6 K,,,,,,,,,,True,10.1103/PhysRevB.24.155
Vanadium nitride,VN,,,,SC,,,,,,,,,,,,,10.1103/PhysRevB.62.13915
VN,VN,Thin Film,3000-8000 Å,sapphire or oxidized Si,SC,Type-II,9.4 K,,Cubic,,,,,,,,True,10.1103/PhysRevLett.56.647
Vanadium Nitride,VN,Thin Film,,,SC,Type-II,,,,B1,,4.13 Å,,,,,True,10.1103/PhysRevB.51.3812
VN,VN,Bulk,,,SC,,9.2 K,,Cubic,NaCl,,,,,,,,10.1103/PhysRevB.29.1443
VN,VN,Bulk,,,SC,,7.5 K,,Cubic,NaCl structure,,,,,,,True,10.1103/PhysRev.87.799
Vanadium Nitride,VN,Thin Film,,single-crystal sapphire,SC,Type-II,,,,,,,,,,,True,10.1103/PhysRevB.38.5065
VN,VN,Bulk,,,SC,Type-II,8.2 K,,Cubic,NaCl type,,4.135 Å,4.135 Å,4.135 Å,,,True,10.1103/PhysRev.93.1004
VN,VN,,,,SC,Type-II,,,Cubic,sodium chloride (B1),,,,,,,,10.1103/PhysRevLett.57.3284
VN,VN,Thin Film,4000-5000 Å,sapphire,SC,Type-II,7.8 ± 0.1 K,,Cubic,fcc,,4.157 Å,,,,600 ± 200 Oe/K,True,10.1103/PhysRevB.38.2333
Vanadium Nitride,VN,Bulk,,,SC,,,,,,,,,,,,,10.1103/PhysRevB.40.8705
VN,VN,,,,SC,,,,,,,,,,,,,10.1103/PhysRevB.30.2542
VN,VN,Bulk,,,SC,High-Tc,9.25 K,,Cubic,B1 (rocksalt),,4.14 Å,4.14 Å,4.14 Å,,,,10.1103/PhysRevB.31.752
VN,VN,Thin Film,,,SC,,,,,,,,,,,,True,10.1103/PhysRevB.30.5095
VN,VN,Thin Film,,,SC,,,,,,,,,,,,,10.1103/PhysRevB.65.024502
VN,VN,Bulk,,,SC,High-Tc,8.6 K,,Cubic,NaCl structure,,,,,,,True,10.1103/PhysRevB.22.4284
VN,VN,Bulk,,,SC,,8.5 K,,Cubic,NaCl,,,,,,,,10.1103/PhysRevB.3.1856
VN,VN,Bulk,,,SC,Classical,8.5 K,,Cubic,NaCl type (rock salt),,,,,,,TRUE,Handbook of SC
VN,VN,Bulk,,,SC,Type-II,8.7 K,,,,,,,,,,TRUE,Handbook of SC
Vanadium Nitride (VN) on MgO,VN,Thin Film,20 nm,MgO,SC,Type-II,8.261 K,Ambient,Cubic,NaCl-type,Fm-3m,4.216,4.216,4.216,,8 T,TRUE,10.1103/PhysRevB.105.224516
Vanadium Nitride (VN) on KTaO3 (KTO),VN,Thin Film,20 nm,KTaO3,SC,Type-II,7.402 K,Ambient,Cubic,NaCl-type,Fm-3m,3.989,3.989,3.989,,8 T,TRUE,10.1103/PhysRevB.105.224516
Vanadium Nitride (VN) on GdScO3 (GSO),VN,Thin Film,20 nm,GdScO3,SC,Type-II,6.530 K,Ambient,Cubic,NaCl-type,Fm-3m,3.965,3.965,3.965,,8 T,TRUE,10.1103/PhysRevB.105.224516
Vanadium Nitride (VN) on PMN-PT (Unpolarized),VN,Thin Film,20 nm,PMN-PT,SC,Type-II,6.510 K,Ambient,Cubic,NaCl-type,Fm-3m,4.022,4.022,4.022,,8 T,TRUE,10.1103/PhysRevB.105.224516
Vanadium Nitride (VN) on PMN-PT (Polarized),VN,Thin Film,20 nm,PMN-PT,SC,Type-II,6.501 K,Ambient,Cubic,NaCl-type,Fm-3m,4.017,4.017,4.017,,8 T,TRUE,10.1103/PhysRevB.105.224516
VN,VN,Bulk,,,SC,,,,,,,,,,,,FALSE,10.1103/PhysRevMaterials.7.094801
Vanadium Nitride,VN,,,,SC,,,,,,,,,,,,FALSE,10.1103/PhysRevB.70.014501
Vanadium Nitride,VN,Bulk,,,SC,Type-II,35.5 K,High Pressure,Hexagonal,WC,P6-m2,4.137,,,,,FALSE,10.1016/j.solidstatesciences.2013.02.004
VN,VN,Thin Film,,,SC,Type-II,5.7,,Cubic,Rock Salt,Fm-3m,4.095,,,,33,TRUE,10.1016/j.apsusc.2024.160432
VN,VN,Thin Film,,,SC,Type-II,6.0,,Cubic,Rock Salt,Fm-3m,4.106,,,,39,TRUE,10.1016/j.apsusc.2024.160432
VN,VN,Bulk,,,SC,Type-II,9 K,,,,,,,,,,FALSE,10.1016/j.jnoncrysol.2010.05.030
VN,VN,Bulk,,,SC,Type-II,2.1-9.8,,Cubic,FCC,Fm3m,,,,,,FALSE,10.1016/j.physc.2023.1354209
Vanadium Nitride,VN,Bulk,,,SC,Conventional,11.53 K,,Rock Salt,FCC,,4.126 Å,4.126 Å,4.126 Å,,,FALSE,10.1016/j.matchemphys.2013.08.046
VN0.75,VN0.75,Bulk,,,SC,High-Tc,2 K,,Cubic,NaCl structure,,,,,,,,10.1103/PhysRevB.22.4284
VN,VN0.86,Bulk,,,SC,,,,Cubic,rocksalt,,,,,,,True,10.1103/PhysRevLett.43.868
VN0.86,VN0.86,Bulk,,,SC,High-Tc,4.1 K,,Cubic,NaCl structure,,,,,,,,10.1103/PhysRevB.22.4284
VN0.93,VN0.93,Bulk,,,SC,Type-II,9.2 K,up to 17 kbar,Cubic,NaCl,,4.127 Å,4.127 Å,4.127 Å,,120 kOe,True,10.1103/PhysRevB.29.1443
VN0.93,VN0.93,Bulk,,,SC,High-Tc,6.2 K,,Cubic,NaCl structure,,,,,,,,10.1103/PhysRevB.22.4284
VN0.96,VN0.96,Thin Film,4000-5000 Å,sapphire,SC,Type-II,8.9 K,,Cubic,fcc,,,,,,,True,10.1103/PhysRevB.38.2333
VN1.00,VN1.00,Bulk,,,SC,Classical,8.5 K,,Cubic,NaCl type,,4.13711 Å,,,,,TRUE,Handbook of SC
VO,VO,,,,NSC,,,,,B1 structure,,,,,,,,10.1103/PhysRevB.12.4917
VO,VO,Bulk,,,NSC,,,,Cubic,NaCl type,,,,,,,True,10.1103/PhysRev.93.1004
Vanadium monoxide,VO,Bulk,,,NSC,,,ambient pressure,Cubic,rocksalt,Fm-3m,4.16,4.16,4.16,,,TRUE,10.1103/PhysRevB.76.205110
VO0.75,VO0.75,Bulk,,,NSC,,,1 atm,Cubic,NaCl,,,,,,,True,10.1103/PhysRevB.5.2775
VO1.00,VO1.00,Bulk,,,NSC,,,1 atm,Cubic,NaCl,,4.071 Å,,,,,True,10.1103/PhysRevB.5.2775
VO1.30,VO1.30,Bulk,,,NSC,,,1 atm,Cubic,NaCl,,,,,,,True,10.1103/PhysRevB.5.2775
Vanadium Dioxide,VO2,Thin Film,,,NSC,,,,,,,,,,,,FALSE,10.1103/PhysRevLett.93.247006
VO2 (M1 phase),VO2,Nanobeam,,Au,NSC,,,,Monoclinic,M1 (monoclinic),,,,,,,TRUE,10.1103/PhysRevB.87.235124
"VO2 (M3 phase, metallic monoclinic)",VO2,Nanobeam,,Au,NSC,,,,Monoclinic,M3 (monoclinic metallic),,,,,,,TRUE,10.1103/PhysRevB.87.235124
VO2,VO2,,,,NSC,,,,,,,,,,,,FALSE,10.1103/PhysRevB.107.085147
VRu,VRu,Bulk,,,SC,Classical,5.1 K,,Cubic,CsCl type,Pm3̄m,2.986 Å,2.986 Å,2.986 Å,,,TRUE,Handbook of SC
VRu,VRu,Bulk,,,SC,,1.7 K,,Cubic,CsCl type,,,,,,,TRUE,Handbook of SC
VRu,VRu,Bulk,,,SC,,5.0 K,,Cubic,CsCl,,,,,,,TRUE,Handbook of SC
1T-VSe2,VSe2,Bulk,,,SC,Type-II,4-5 K,15-22 GPa,,Layered (1T structure),,,,,,1.9 T,TRUE,10.1103/PhysRevB.101.014514
1T-VSe2 (under pressure),VSe2,Bulk,,,SC,,4 K,15 GPa,,,,,,,,,FALSE,10.1103/PhysRevB.105.L041101
VSe2,VSe2,Bulk,,,SC,single-band,,High pressure,Hexagonal,1T,,,,,,,FALSE,10.1103/PhysRevB.108.L180507
VSi2,VSi2,Thin Film,1050 Å,oxidized silicon wafers,NSC,,,,Hexagonal,,,,,,,,True,10.1103/PhysRevB.34.6143
VSi2 bilayer,VSi2,Thin Film,2700 Å,oxidized silicon wafers,NSC,,,,Hexagonal,,,,,,,,True,10.1103/PhysRevB.34.6143
Vanadium-Titanium alloy,VTi,Bulk,,,SC,Type-II,,,,,,,,,,,,10.1103/PhysRevB.26.2463
V-intercalated TiSe2,VxTiSe2,Bulk,,,NSC,,,,Trigonal,1T (octahedral layered),,,,,,,FALSE,10.1103/PhysRevB.76.024513
V₁.₀₉Ru₀.₉₁,V₁.₀₉Ru₀.₉₁,Bulk,,,SC,,5.2 K,,Cubic,CsCl type,,,,,,,TRUE,Handbook of SC
"V₃(Ga,Zr) Laves","V₃(Ga,Zr)",Bulk,,,SC,Type-II,,,,Laves,,,,,,,TRUE,Handbook of SC
V₃Al,V₃Al,Bulk,,,SC,High-Tc,17.5 K,,Cubic,β-wolfram,Pm3n,4.78 Å,4.78 Å,4.78 Å,,,,10.1103/PhysRev.138.A112
V₃As,V₃As,Bulk,,,SC,,,,Cubic,β-wolfram,Pm3n,,,,,,True,10.1103/PhysRev.121.1357
V₃Au,V₃Au,Bulk,,,SC,,,,,A-15 β-tungsten,,,,,,,,10.1103/PhysRevB.9.1246
V₃Au,V₃Au,Bulk,,,SC,,<1 K,,Cubic,β-wolfram,Pm3n,,,,,,True,10.1103/PhysRev.121.1357
V₃Au,V₃Au,Bulk,,,SC,Type-II,3.22 K,,,A-15,,,,,,,,10.1103/PhysRevB.12.147
V₃Co,V₃Co,Bulk,,,SC,,,,Cubic,β-wolfram,Pm3n,,,,,,True,10.1103/PhysRev.121.1357
V₃Ga,V₃Ga,Bulk,,,SC,High-Tc,,,,A-15 β-tungsten,,,,,,,,10.1103/PhysRevB.9.1246
V₃Ga,V₃Ga,Bulk,,,SC,High-Tc,>15 K,,Cubic,A-15,,,,,,,,10.1103/PhysRevB.19.1734
V₃Ga,V₃Ga,Bulk,,,SC,Type-II,13.87 K,up to 20 kbar,Cubic,A15,,4.816 Å,4.816 Å,4.816 Å,,,True,10.1103/PhysRevLett.25.1483
V₃Ga,V₃Ga,Bulk,,,SC,,16.5 K,,Cubic,β-wolfram,Pm3n,,,,,,True,10.1103/PhysRev.121.1357
V₃Ga,V₃Ga,,,,SC,Type-II/A15,,,,A15,,,,,,,,10.1103/PhysRevB.38.4457
V₃Ga,V₃Ga,Bulk,,,SC,High-Tc,16.5 K,,Cubic,β-wolfram,Pm3n,4.83 Å,4.83 Å,4.83 Å,,,True,10.1103/PhysRev.138.A112
V₃Ga,V₃Ga,Bulk,,,SC,Type-II,,,Cubic,Cr₃O (A15 or β-tungsten),,,,,,,,10.1103/PhysRev.152.341
V₃Ga,V₃Ga,,,,SC,Type-II,,,,A15,,,,,,,,10.1103/PhysRevB.29.1189
V₃Ga,V₃Ga,Bulk,,,SC,High-Tc,,10 kbar,Cubic,A15,,,,,,,,10.1103/PhysRevLett.33.1223
V₃Ga,V₃Ga,Bulk,,,SC,A15,15-18 K,,,A15,,,,,,,,10.1103/PhysRevB.65.224510
V₃Ga(A15),V₃Ga,Bulk,,,SC,Type-II,15.0 K,,,A15,,,,,,23.0 T,TRUE,Handbook of SC
V₃Ga,V₃Ga,Bulk,,,SC,A15,,,,A15,,,,,,10 T,TRUE,Handbook of SC
V₃Ga,V₃Ga,Bulk,,,SC,Type-II,15 K,,,A15,,,,,,23 T,TRUE,Donnelly (1989)
V₃Ge,V₃Ge,Bulk,,,SC,Type-II,6.104 K,up to 20 kbar,Cubic,A15,,4.783 Å,4.783 Å,4.783 Å,,,True,10.1103/PhysRevLett.25.1483
V₃Ge,V₃Ge,Bulk,,,SC,,6.0 K,,Cubic,β-wolfram,Pm3n,,,,,,True,10.1103/PhysRev.121.1357
V₃Ge,V₃Ge,Bulk,,,SC,,,,,β-W,,,,,,,,10.1103/PhysRevB.4.2906
V₃Ge,V₃Ge,,,,SC,A-15,,,Cubic,A-15,,,,,,,,10.1103/PhysRevB.16.1387
V₃Ge,V₃Ge,Bulk,,,SC,High-Tc,6.01 K,,Cubic,β-wolfram,Pm3n,4.77 Å,4.77 Å,4.77 Å,,,,10.1103/PhysRev.138.A112
V₃Ge (A15),V₃Ge,Bulk,,,SC,Type-II,6.8 K,,,A15,,,,,,≈5.0 T,TRUE,Handbook of SC
V₃Ge,V₃Ge,Bulk,,,SC,Type-II,6.1 K,,,,,,,,,,TRUE,Handbook of SC
V₃Ge 415,V₃Ge,Bulk,,,SC,Type-II,8.2 K,,,,,,,,,,TRUE,Handbook of SC
V₃Ge(A15),V₃Ge,Bulk,,,SC,Type-II,11.2 K,,Cubic,A15,,,,,,,TRUE,Handbook of SC
V₃Ge,V₃Ge,Bulk,,,SC,Type-II,6.8 K,,,A15,,,,,,≈ 5 T,TRUE,Roberts (1976)
V₃Ge,V₃Ge,Bulk,,,SC,Type-II,11.2 K,,,A15,,,,,,,TRUE,Handbook of SC
V₃Pt,V₃Pt,Bulk,,,SC,,2.8 K,,Cubic,β-wolfram,Pm3n,,,,,,True,10.1103/PhysRev.121.1357
V₃Pt,V₃Pt,Bulk,,,SC,,,,,β-W,,,,,,,,10.1103/PhysRevB.4.2906
